N,tj,tm2,tm3,tm2Prec,tm2Apply,tm2Jacobi,tm2Else,tm3Prec,tm3Apply,tm3Jacobi,tm3Else
100.0,0.061560869216918945,0.02097606658935547,0.0758059024810791,0.0008139610290527344,4.792213439941406e-5,0.01566314697265625,2.193450927734375e-5,0.0006930828094482422,0.0589900016784668,0.016088008880615234,2.6941299438476562e-5
147.0,0.19764995574951172,0.05385899543762207,0.24947619438171387,0.0016829967498779297,6.985664367675781e-5,0.05205893516540527,3.600120544433594e-5,0.0015950202941894531,0.17852115631103516,0.06929707527160645,4.601478576660156e-5
195.0,0.4587371349334717,0.1432650089263916,0.5538849830627441,0.0033919811248779297,0.0001499652862548828,0.13959813117980957,0.00011277198791503906,0.0034868717193603516,0.4219529628753662,0.12818503379821777,0.0002410411834716797
242.0,0.8783779144287109,0.2538299560546875,0.9788980484008789,0.004685878753662109,0.0003361701965332031,0.24863481521606445,0.00016117095947265625,0.0041048526763916016,0.7639181613922119,0.2103438377380371,0.00016498565673828125
289.0,1.3757188320159912,0.37426114082336426,1.6134920120239258,0.0057752132415771484,0.000476837158203125,0.3663451671600342,0.0016498565673828125,0.007043123245239258,1.256309986114502,0.3498969078063965,0.00021910667419433594
337.0,2.3125181198120117,0.594763994216919,2.5238189697265625,0.008061885833740234,0.000720977783203125,0.5856552124023438,0.00031495094299316406,0.00681304931640625,1.9622070789337158,0.5541300773620605,0.0003159046173095703
384.0,4.383453845977783,1.1692099571228027,4.059156894683838,0.008496999740600586,0.0008559226989746094,1.159430980682373,0.0004150867462158203,0.008322000503540039,2.9019010066986084,1.1484780311584473,0.0004279613494873047
432.0,4.860594987869263,1.3196911811828613,5.500507831573486,0.011271953582763672,0.0010800361633300781,1.3067550659179688,0.0005729198455810547,0.010905027389526367,4.1558308601379395,1.3331620693206787,0.000576019287109375
479.0,6.249850034713745,1.6068730354309082,7.154819011688232,0.014162063598632812,0.0016820430755615234,1.590142011642456,0.0008759498596191406,0.014332056045532227,5.568469762802124,1.5710420608520508,0.000885009765625
526.0,8.123480081558228,2.1567459106445312,9.66606092453003,0.018016815185546875,0.002206087112426758,2.135377883911133,0.001135110855102539,0.016796112060546875,7.54084587097168,2.107180118560791,0.0011379718780517578
574.0,10.681084156036377,2.7374680042266846,12.536536931991577,0.01800084114074707,0.002807140350341797,2.715200901031494,0.0014469623565673828,0.09541893005371094,9.726401090621948,2.713226079940796,0.0014369487762451172
621.0,15.207361936569214,3.941498041152954,16.326180934906006,0.02487015724182129,0.0035359859466552734,3.910871982574463,0.0022089481353759766,0.10106897354125977,12.312817096710205,3.9102208614349365,0.0018129348754882812
668.0,19.113208055496216,5.091542959213257,20.359062910079956,0.030889034271240234,0.004417896270751953,5.053999900817871,0.0022242069244384766,0.025020122528076172,15.243830919265747,5.087882041931152,0.0022439956665039062
716.0,23.884589910507202,6.084167957305908,24.715966939926147,0.029886960983276367,0.00539088249206543,6.046163082122803,0.0027151107788085938,0.1017758846282959,18.47946810722351,6.125320911407471,0.002707958221435547
763.0,28.837785959243774,7.349699020385742,29.935775995254517,0.0460050106048584,0.006584882736206055,7.293800115585327,0.0032968521118164062,0.03972601890563965,22.42792797088623,7.393007040023804,0.003284931182861328
811.0,34.384262800216675,8.866091966629028,35.82781004905701,0.0463559627532959,0.00805807113647461,8.80776596069336,0.0039000511169433594,0.11615490913391113,26.839816093444824,8.867670059204102,0.003914833068847656
858.0,41.956419944763184,10.950093030929565,43.411535024642944,0.05249309539794922,0.009279966354370117,10.883359909057617,0.004949092864990234,0.05132102966308594,32.32932186126709,11.026026010513306,0.004591941833496094
905.0,49.7557909488678,12.70403504371643,50.826080083847046,0.04936695098876953,0.011096000671386719,12.637970924377441,0.005589008331298828,0.1332380771636963,37.08519983291626,13.59988808631897,0.007473945617675781
953.0,60.8018000125885,14.844877004623413,58.28566288948059,0.14191579818725586,0.013557195663452148,14.683202981948853,0.006189823150634766,0.05747699737548828,43.54604196548462,14.675624132156372,0.0061910152435302734
1000.0,65.58122396469116,17.09478998184204,67.14838886260986,0.15102815628051758,0.01667189598083496,16.919743061065674,0.0073359012603759766,0.07338881492614746,50.16765904426575,16.899693965911865,0.0073070526123046875
