kappa,tj,tm2,tm3,tm2Prec,tm2Apply,tm2Jacobi,tm2Else,tm3Prec,tm3Apply,tm3Jacobi,tm3Else
1000.0,5.834038972854614,1.2679839134216309,7.78181004524231,0.015131950378417969,0.001970052719116211,1.2447869777679443,0.0009698867797851562,0.01576709747314453,6.531354904174805,1.2336320877075195,0.0009570121765136719
3793.0,5.903628826141357,1.270294189453125,7.652246952056885,0.016191959381103516,0.0019130706787109375,1.2511870861053467,0.0009899139404296875,0.014847040176391602,6.383697986602783,1.252690076828003,0.0009679794311523438
14384.0,6.273190975189209,1.2798759937286377,7.568777084350586,0.015510082244873047,0.0019178390502929688,1.26143217086792,0.001004934310913086,0.01587200164794922,6.308761119842529,1.2430899143218994,0.0009541511535644531
54556.0,6.058315992355347,1.2887091636657715,7.605068206787109,0.015264034271240234,0.0019299983978271484,1.2705559730529785,0.0009469985961914062,0.014661073684692383,6.325445890426636,1.2639241218566895,0.0009648799896240234
206914.0,6.178818941116333,1.310654878616333,7.599116086959839,0.015132904052734375,0.001931905746459961,1.292633056640625,0.0009450912475585938,0.014973163604736328,6.3074049949646,1.2757349014282227,0.0009610652923583984
784760.0,6.479685068130493,1.3442790508270264,7.7492499351501465,0.015722036361694336,0.0020020008087158203,1.325556993484497,0.000985860824584961,0.015269994735717773,6.425134897232056,1.3076820373535156,0.0010418891906738281
2.976351e6,6.583059787750244,1.427400827407837,7.815027952194214,0.01746201515197754,0.001974821090698242,1.4069890975952148,0.0009629726409912109,0.0179440975189209,6.397658824920654,1.3982009887695312,0.0011801719665527344
1.1288379e7,6.715934991836548,1.5419318675994873,7.933079957962036,0.014986991882324219,0.0019080638885498047,1.5240468978881836,0.0009779930114746094,0.014582157135009766,6.403018951416016,1.5144519805908203,0.000985860824584961
4.2813324e7,6.889208078384399,1.782660961151123,8.103744983673096,0.017194032669067383,0.0021209716796875,1.7621989250183105,0.001132965087890625,0.017030954360961914,6.398344993591309,1.687270164489746,0.001055002212524414
1.62377674e8,6.853561878204346,1.9232430458068848,8.284790992736816,0.015799999237060547,0.002107858657836914,1.904332160949707,0.0009918212890625,0.015752792358398438,6.387583017349243,1.8803670406341553,0.000990152359008789
6.15848211e8,7.13972282409668,2.094820976257324,8.491744995117188,0.015221834182739258,0.001917123794555664,2.076680898666382,0.0009911060333251953,0.01430201530456543,6.385113000869751,2.091161012649536,0.0010199546813964844
2.335721469e9,7.3292059898376465,2.337390899658203,8.609293937683105,0.013721942901611328,0.0020699501037597656,2.319607973098755,0.001953125,0.018564939498901367,6.357598066329956,2.231912851333618,0.0009961128234863281
8.858667904e9,7.740400075912476,2.413878917694092,8.754559993743896,0.012978076934814453,0.0019469261169433594,2.3979110717773438,0.0010190010070800781,0.011842966079711914,6.356575012207031,2.3846840858459473,0.0013420581817626953
3.3598182863e10,7.809858083724976,2.671294927597046,9.062314987182617,0.012678146362304688,0.00191497802734375,2.655694007873535,0.0009980201721191406,0.013792991638183594,6.39910101890564,2.6483559608459473,0.001007080078125
1.2742749857e11,8.06209111213684,2.851167917251587,9.256642818450928,0.01111602783203125,0.0019099712371826172,2.8371269702911377,0.0010030269622802734,0.011961936950683594,6.402024984359741,2.841560125350952,0.0010039806365966797
4.83293023857e11,7.872005939483643,3.0384860038757324,9.526869773864746,0.012388944625854492,0.001971006393432617,3.023116111755371,0.0009989738464355469,0.012406110763549805,6.425665855407715,3.0876920223236084,0.0010120868682861328
1.832980710832e12,8.086540937423706,3.238877058029175,9.597074031829834,0.011535167694091797,0.0019078254699707031,3.2243900299072266,0.0010311603546142578,0.011459112167358398,6.397252798080444,3.187258005142212,0.0010030269622802734
6.951927961776e12,9.122795104980469,3.437140941619873,9.950908899307251,0.012065887451171875,0.0019061565399169922,3.4221580028533936,0.0009999275207519531,0.012452840805053711,6.4146599769592285,3.522679090499878,0.0010271072387695312
2.6366508987304e13,8.768663883209229,3.984696865081787,10.59918999671936,0.015933990478515625,0.002682924270629883,3.964815139770508,0.001252889633178711,0.018882036209106445,6.5598530769348145,4.018201112747192,0.002156972885131836
1.0e14,8.992929935455322,4.29314398765564,10.476353883743286,0.013810873031616211,0.001961946487426758,4.276343107223511,0.0010149478912353516,0.011461973190307617,6.388766050338745,4.075012922286987,0.0010051727294921875
